PriceRange,ReleaseYear,Camera,AvailableColors,Ram_GB,NetworkSupport,BluetoothVersion,Rom_GB,BatteryCapacity,VideoRes,NumOfSensors,FastCharging,WR_version,OTG,USB_Version,TypeC,NFC,Display,Protection,Chipset,Processor,GPU,Fingerprint,FaceLock
1,2020,5,3,4,3,5,64,5000,1080,3,10,0,1,2,0,0,IPS LCD Touchscreen,1,MediaTek Helio G35 (12 nm),"Octa core, up to 2.3 GHz",PowerVR GE8320,1,1
2,2021,16,3,6,3,5.1,64,5020,1080,5,33,53,1,2,1,0,Super AMOLED Touchscreen – 64 MP version,1,Qualcomm Snapdragon 732G (8 nm),"Octa core, up to 2.3 GHz",Adreno 618,1,1
1,2021,8,2,4,3,5,64,5000,1080,4,18,0,1,2,1,0,IPS LCD Touchscreen,1,MediaTek Helio G80 (12 nm),"Octa core, up to 2.0 GHz",Mali-G52 MC2,1,1
1,2020,5,3,4,3,5,32,5000,1080,3,10,0,1,2,0,0,IPS LCD Touchscreen,0,MediaTek Helio G35 (12 nm),"Octa core, 2.3 GHz",PowerVR GE8320,1,1
1,2020,8,3,6,3,5,64,6000,1080,4,18,0,1,2,1,0,IPS LCD Touchscreen,1,Qualcomm Snapdragon 662 (11 nm),"Octa core, up to 2.0 GHz",Adreno 610,1,1
0,2020,5,3,2,3,5,32,5000,1080,3,10,0,1,2,0,0,IPS LCD Touchscreen,0,MediaTek Helio G25 (12 nm),"Octa core, 2.0 GHz",PowerVR GE8320 (650 MHz),0,1
1,2021,13,3,4,3,5.2,64,4000,1080,5,18,0,1,2,1,0,IPS LCD Touchscreen,1,MediaTek Helio G85 (12 nm),"Octa core, up to 2.0 GHz",Mali-G52 MC2,1,1
1,2020,8,4,6,3,5,64,6000,1080,4,18,0,1,2,1,0,IPS LCD Touchscreen,1,Qualcomm Snapdragon 662 (11 nm),"Octa core, up to 2.0 GHz",Adreno 610,1,1
2,2021,16,3,8,3,5.1,128,4250,1080,5,33,53,1,2,1,0,AMOLED Touchscreen,1,Qualcomm Snapdragon 732G (8nm),"Octa core, up to 2.3 GHz",Adreno 618,1,1
1,2021,13,3,6,3,5,64,5000,1080,5,33,53,1,2,1,0,Super AMOLED Touchscreen,1,Qualcomm Snapdragon 678 (11 nm),"Octa core, up to 2.0 GHz",Adreo 612,1,1
